Account: EVERYDAY CHECKING ...4412
Statement range: 07/01/2024 - 09/18/2026
Posting Date,Description,Amount,Type,Balance
03/27/2026,VENMO PAYMENT 10239988,-73.88,DEBIT,4944.63
03/31/2026,ACME ROBOTICS PAYROLL DIR DEP PPD ID: 99812,2300.70,CREDIT,7245.33
04/01/2026,ZELLE PAYMENT TO OAKRIDGE APARTMENTS LLC,-1975.00,DEBIT,5270.33
04/03/2026,VENMO PAYMENT 10239988,-51.98,DEBIT,5218.35
04/12/2026,CITY POWER & LIGHT ELECTRIC BILL PAY,-101.94,DEBIT,5116.41
04/14/2026,IRS USATAXPYMT 2025 BALANCE DUE,-1850.00,DEBIT,3266.41
04/15/2026,ACME ROBOTICS PAYROLL DIR DEP PPD ID: 99812,2289.60,CREDIT,5556.01
04/18/2026,VENMO PAYMENT 10239988,-45.49,DEBIT,5510.52
04/18/2026,COMCAST XFINITY INTERNET,-89.99,DEBIT,5420.53
04/22/2026,VENMO PAYMENT 10239988,-58.45,DEBIT,5362.08
04/22/2026,T-MOBILE AUTOPAY WIRELESS,-85.00,DEBIT,5277.08
04/25/2026,AMEX EPAYMENT ACH PMT,-1743.54,DEBIT,3533.54
04/27/2026,VENMO PAYMENT 10239988,-39.82,DEBIT,3493.72
04/29/2026,VENMO CASHOUT,30.68,CREDIT,3524.40
04/30/2026,ACME ROBOTICS PAYROLL DIR DEP PPD ID: 99812,2295.05,CREDIT,5819.45
05/01/2026,ZELLE PAYMENT TO OAKRIDGE APARTMENTS LLC,-1975.00,DEBIT,3844.45
05/04/2026,VENMO PAYMENT 10239988,-53.68,DEBIT,3790.77
05/09/2026,VENMO PAYMENT 10239988,-20.65,DEBIT,3770.12
05/12/2026,CITY POWER & LIGHT ELECTRIC BILL PAY,-127.39,DEBIT,3642.73
05/15/2026,ACME ROBOTICS PAYROLL DIR DEP PPD ID: 99812,2292.52,CREDIT,5935.25
05/18/2026,COMCAST XFINITY INTERNET,-89.99,DEBIT,5845.26
05/22/2026,T-MOBILE AUTOPAY WIRELESS,-85.00,DEBIT,5760.26
05/23/2026,VENMO PAYMENT 10239988,-71.37,DEBIT,5688.89
05/24/2026,NON-CHASE ATM FEE-WITH,-3.50,DEBIT,5685.39
05/24/2026,VENMO PAYMENT 10239988,-53.37,DEBIT,5632.02
05/24/2026,VENMO PAYMENT 10239988,-63.85,DEBIT,5568.17
05/24/2026,ATM WITHDRAWAL 1200 MARKET ST,-100.00,DEBIT,5468.17
05/25/2026,VENMO PAYMENT 10239988,-51.70,DEBIT,5416.47
05/25/2026,AMEX EPAYMENT ACH PMT,-2750.06,DEBIT,2666.41
05/29/2026,ACME ROBOTICS PAYROLL DIR DEP PPD ID: 99812,2308.20,CREDIT,4974.61
06/01/2026,ZELLE PAYMENT TO OAKRIDGE APARTMENTS LLC,-1975.00,DEBIT,2999.61
06/02/2026,VENMO PAYMENT 10239988,-64.43,DEBIT,2935.18
06/07/2026,VENMO PAYMENT 10239988,-41.15,DEBIT,2894.03
06/11/2026,VENMO PAYMENT 10239988,-14.58,DEBIT,2879.45
06/11/2026,VENMO PAYMENT 10239988,-46.45,DEBIT,2833.00
06/11/2026,VENMO PAYMENT 10239988,-70.35,DEBIT,2762.65
06/12/2026,CITY POWER & LIGHT ELECTRIC BILL PAY,-126.53,DEBIT,2636.12
06/15/2026,ACME ROBOTICS PAYROLL DIR DEP PPD ID: 99812,2301.95,CREDIT,4938.07
06/15/2026,VENMO PAYMENT 10239988,-24.20,DEBIT,4913.87
06/18/2026,COMCAST XFINITY INTERNET,-89.99,DEBIT,4823.88
06/18/2026,ATM WITHDRAWAL 1200 MARKET ST,-100.00,DEBIT,4723.88
06/21/2026,VENMO PAYMENT 10239988,-30.89,DEBIT,4692.99
06/22/2026,T-MOBILE AUTOPAY WIRELESS,-85.00,DEBIT,4607.99
06/25/2026,AMEX EPAYMENT ACH PMT,-2219.13,DEBIT,2388.86
06/30/2026,ACME ROBOTICS PAYROLL DIR DEP PPD ID: 99812,2295.79,CREDIT,4684.65
07/01/2026,ZELLE PAYMENT TO OAKRIDGE APARTMENTS LLC,-1975.00,DEBIT,2709.65
07/05/2026,VENMO PAYMENT 10239988,-34.38,DEBIT,2675.27
07/05/2026,VENMO PAYMENT 10239988,-38.72,DEBIT,2636.55
07/07/2026,VENMO PAYMENT 10239988,-61.64,DEBIT,2574.91
07/09/2026,NON-CHASE ATM FEE-WITH,-3.50,DEBIT,2571.41
07/09/2026,ATM WITHDRAWAL 1200 MARKET ST,-120.00,DEBIT,2451.41
07/12/2026,CITY POWER & LIGHT ELECTRIC BILL PAY,-210.58,DEBIT,2240.83
07/14/2026,VENMO PAYMENT 10239988,-21.98,DEBIT,2218.85
07/15/2026,ACME ROBOTICS PAYROLL DIR DEP PPD ID: 99812,2294.08,CREDIT,4512.93
07/16/2026,VENMO PAYMENT 10239988,-51.61,DEBIT,4461.32
07/16/2026,VENMO PAYMENT 10239988,-69.98,DEBIT,4391.34
07/17/2026,ATM WITHDRAWAL 1200 MARKET ST,-40.00,DEBIT,4351.34
07/18/2026,COMCAST XFINITY INTERNET,-89.99,DEBIT,4261.35
07/22/2026,T-MOBILE AUTOPAY WIRELESS,-85.00,DEBIT,4176.35
07/23/2026,VENMO PAYMENT 10239988,-17.83,DEBIT,4158.52
07/25/2026,AMEX EPAYMENT ACH PMT,-2667.99,DEBIT,1490.53
07/28/2026,VENMO PAYMENT 10239988,-73.16,DEBIT,1417.37
07/29/2026,VENMO CASHOUT,48.67,CREDIT,1466.04
07/29/2026,NON-CHASE ATM FEE-WITH,-3.50,DEBIT,1462.54
07/29/2026,ATM WITHDRAWAL 1200 MARKET ST,-40.00,DEBIT,1422.54
07/31/2026,ACME ROBOTICS PAYROLL DIR DEP PPD ID: 99812,2292.37,CREDIT,3714.91
07/31/2026,VENMO PAYMENT 10239988,-19.11,DEBIT,3695.80
08/01/2026,ZELLE PAYMENT TO OAKRIDGE APARTMENTS LLC,-1975.00,DEBIT,1720.80
08/05/2026,ATM WITHDRAWAL 1200 MARKET ST,-60.00,DEBIT,1660.80
08/09/2026,GEICO INSURANCE PREMIUM,-655.80,DEBIT,1005.00
08/12/2026,NON-CHASE ATM FEE-WITH,-3.50,DEBIT,1001.50
08/12/2026,ATM WITHDRAWAL 1200 MARKET ST,-120.00,DEBIT,881.50
08/12/2026,CITY POWER & LIGHT ELECTRIC BILL PAY,-205.46,DEBIT,676.04
08/14/2026,ACME ROBOTICS PAYROLL DIR DEP PPD ID: 99812,2297.88,CREDIT,2973.92
08/14/2026,ATM WITHDRAWAL 1200 MARKET ST,-100.00,DEBIT,2873.92
08/15/2026,VENMO PAYMENT 10239988,-31.89,DEBIT,2842.03
08/17/2026,NON-CHASE ATM FEE-WITH,-3.50,DEBIT,2838.53
08/17/2026,ATM WITHDRAWAL 1200 MARKET ST,-120.00,DEBIT,2718.53
08/18/2026,COMCAST XFINITY INTERNET,-89.99,DEBIT,2628.54
08/22/2026,VENMO CASHOUT,31.22,CREDIT,2659.76
08/22/2026,T-MOBILE AUTOPAY WIRELESS,-85.00,DEBIT,2574.76
08/24/2026,VENMO PAYMENT 10239988,-78.54,DEBIT,2496.22
08/25/2026,AMEX EPAYMENT ACH PMT,-2665.34,DEBIT,-169.12
08/25/2026,OVERDRAFT FEE FOR A $2665.34 ITEM,-35.00,DEBIT,-204.12
08/31/2026,ACME ROBOTICS PAYROLL DIR DEP PPD ID: 99812,2296.39,CREDIT,2092.27
09/01/2026,ZELLE PAYMENT TO OAKRIDGE APARTMENTS LLC,-1975.00,DEBIT,117.27
09/02/2026,VENMO PAYMENT 10239988,-48.94,DEBIT,68.33
09/07/2026,VENMO CASHOUT,24.60,CREDIT,92.93
09/08/2026,VENMO PAYMENT 10239988,-69.00,DEBIT,23.93
09/11/2026,NON-CHASE ATM FEE-WITH,-3.50,DEBIT,20.43
09/11/2026,ATM WITHDRAWAL 1200 MARKET ST,-40.00,DEBIT,-19.57
09/11/2026,OVERDRAFT FEE FOR A $40.00 ITEM,-35.00,DEBIT,-54.57
09/12/2026,VENMO PAYMENT 10239988,-68.67,DEBIT,-123.24
09/12/2026,VENMO PAYMENT 10239988,-70.72,DEBIT,-193.96
09/12/2026,CITY POWER & LIGHT ELECTRIC BILL PAY,-132.34,DEBIT,-326.30
09/15/2026,ACME ROBOTICS PAYROLL DIR DEP PPD ID: 99812,2292.26,CREDIT,1965.96
09/18/2026,COMCAST XFINITY INTERNET,-89.99,DEBIT,1875.97
